theta1,theta2,theta3,theta4,theta5
3.7295952571373574,-0.7943678438589166,1.973043134264813,1.9629173631838936,3.2059965904706873
3.7294966799664624,-0.7943822178742496,1.9730229076150714,1.962951963879916,3.205968137500785
3.729201829590501,-0.79442521143743,1.972962408462716,1.9630554566880185,3.2058830329192998
3.728712027714557,-0.7944966318242296,1.9728619080030507,1.9632273776882543,3.2057416582185674
3.7280285960437163,-0.7945962863104208,1.9727216774313792,1.9634672629606769,3.2055443948909197
3.727152856283062,-0.7947239821717756,1.972541987943005,1.9637746485853396,3.2052916244286913
3.72608613013768,-0.794879526684066,1.9723231107332324,1.964149070642296,3.2049837283242164
3.7248297393126544,-0.7950627271230643,1.972065316997365,1.9645900652115988,3.2046210880698287
3.7233850055130695,-0.7952733907645421,1.9717688779307065,1.965097168373302,3.204204085157862
3.7217532504440105,-0.7955113248842718,1.9714340647285609,1.9656699162074587,3.2037331010806502
3.719935795810562,-0.7957763367580254,1.9710611485862315,1.966307844794122,3.2032085173305274
3.717933963317808,-0.7960682336615751,1.9706504006990226,1.9670104902133456,3.202630715399827
3.7157490746708337,-0.7963868228706928,1.9702020922622383,1.9677773885451826,3.2020000767808834
3.7133824515747236,-0.7967319116611506,1.9697164944711814,1.9686080758696862,3.20131698296603
3.7108354157345627,-0.7971033073087207,1.9691938785211565,1.96950208826691,3.2005818154476016
3.7081092888554346,-0.7975008170891751,1.968634515607467,1.9704589618169075,3.199794955717931
3.7052053926424247,-0.7979242482782858,1.9680386769254168,1.9714782325997315,3.198956785269353
3.702125048800618,-0.7983734081518248,1.9674066336703098,1.9725594366954358,3.1980676855942005
3.698869579035098,-0.7988481039855644,1.9667386570374497,1.9737021101840735,3.1971280381848084
3.69544030505095,-0.7993481430552766,1.9660350182221404,1.974905789145698,3.1961382245335095
3.691838548553258,-0.7998733326367333,1.9652959884196857,1.9761700096603625,3.1950986261326384
3.688065631247108,-0.8004234800057068,1.964521838825389,1.9774943078081204,3.1940096244745293
3.684122874837584,-0.8009983924379691,1.9637128406345548,1.978878219669025,3.1928716010515155
3.68001160102977,-0.8015978772092923,1.9628692650424864,1.9803212813231301,3.191684937355931
3.6757331315287507,-0.8022217415954483,1.9619913832444875,1.9818230288504883,3.19045001488011
3.671288788039611,-0.8028697928722093,1.9610794664358622,1.9833829983311535,3.1891672151163855
